NAME OF THE INSTRUMENT,INDUSTRY,ISIN CODE,QUANTITY,MKT VAL(Rs. Lacs),% to NAV,Scheme Code,Scheme Name
ADITYA BIRLA LIFESTYLE BRANDS LTD.,Retailing,INE14LE01019,3471960,5453.75,0.61,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
PATANJALI FOODS LTD.,Agricultural Food & other Products,INE619A01035,296277,4890.35,0.55,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
DIGITIDE SOLUTIONS LTD.,IT - Services,INE0U4701011,2378531,4665.01,0.52,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
ORACLE FINANCIALS SERVICES SOFT LTD.,IT - Software,INE881D01027,50000,4493,0.51,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
TUBE INVESTMENTS OF INDIA LIMITED.,Auto Components,INE974X01010,127832,3974.3,0.45,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
DR REDDYS LABORATORIES LTD.,Pharmaceuticals & Biotechnology,INE089A01031,250000,3208.25,0.36,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
ALKEM LABORATORIES LTD.,Pharmaceuticals & Biotechnology,INE540L01014,62937,3108.46,0.35,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
ADITYA BIRLA FASHION & RETAIL LTD.,Retailing,INE647O01011,3471960,2603.97,0.29,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
DIVI LABORATORIES LTD.,Pharmaceuticals & Biotechnology,INE361B01024,27375,1864.1,0.21,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
BLUSPRING ENTERPRISES LTD.,Commercial Services & Supplies,INE0U4101014,2378531,1806.26,0.2,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
SUDARSHAN CHEMICAL INDUSTRIES LTD.,Chemicals & Petrochemicals,INE659A01023,140000,1726.76,0.19,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
BHARTI AIRTEL LTD. (RIGHT 14/10/2021) (PARTLY PAID),Telecom - Services,IN9397D01014,103571,1584.17,0.18,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
ITC HOTELS LTD.,Leisure Services,INE379A01028,230300,512.16,0.06,101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option
MAX FINANCIAL SERVICES LTD.,Insurance,INE180A01020,1250000,20588.75,4.13,102328,Tata Mid Cap Fund Regular Plan- Growth Option
AU SMALL FINANCE BANK LTD.,Banks,INE949L01017,1700000,13897.5,2.79,102328,Tata Mid Cap Fund Regular Plan- Growth Option
ALKEM LABORATORIES LTD.,Pharmaceuticals & Biotechnology,INE540L01014,270000,13335.3,2.67,102328,Tata Mid Cap Fund Regular Plan- Growth Option
JUBILANT FOODWORKS LTD.,Leisure Services,INE797F01020,1800000,12632.4,2.53,102328,Tata Mid Cap Fund Regular Plan- Growth Option
CUMMINS INDIA LTD.,Industrial Products,INE298A01020,369694,12567.38,2.52,102328,Tata Mid Cap Fund Regular Plan- Growth Option
ICICI LOMBARD GENERAL INSURANCE CO. LTD.,Insurance,INE765G01017,600000,12241.2,2.46,102328,Tata Mid Cap Fund Regular Plan- Growth Option
LUPIN LTD.,Pharmaceuticals & Biotechnology,INE326A01037,600000,11628,2.33,102328,Tata Mid Cap Fund Regular Plan- Growth Option
AUROBINDO PHARMA LTD.,Pharmaceuticals & Biotechnology,INE406A01037,1000000,11348,2.28,102328,Tata Mid Cap Fund Regular Plan- Growth Option
